id,recipe_id,ingredient_group,ingredient_original_name,ingredient_normalized_name,ingredient_quantity,ingredient_unit
ING_000001,MR_187_01,utama,djagung putih pipilan,jagung putih pipilan,,
ING_000002,MR_187_02,kulit,beras,beras,1.0,liter
ING_000003,MR_187_02,kulit,garam,garam,1.0,sendok makan
ING_000004,MR_187_02,kulit,daun pisang batu,daun pisang batu,2.0,pelepah
ING_000005,MR_187_02,kulit,biting,biting,,secukupnya
ING_000006,MR_187_02,isian,daging/ajam,daging/ayam,0.25,kilogram
ING_000007,MR_188_01,Bahan Utama (Aron),aron,aron,120.0,gram
ING_000008,MR_188_01,Bahan Utama (Aron),tepung singkong,tepung singkong,35.0,gram
ING_000009,MR_188_01,Bumbu dan Isi,petai,petai,5.0,biji
ING_000010,MR_188_01,Bumbu dan Isi,bawang merah,bawang merah,4.0,buah
ING_000011,MR_188_01,Bumbu dan Isi,kelapa,kelapa,0.25,butir
ING_000012,MR_188_01,Bumbu dan Isi,gula,gula,,secukupnya
ING_000013,MR_188_01,Bumbu dan Isi,garam,garam,,secukupnya
ING_000014,MR_188_01,Bumbu dan Isi,salam,daun salam,,secukupnya
ING_000015,MR_188_01,Bumbu dan Isi,laos,lengkuas,,secukupnya
ING_000016,MR_188_01,Bumbu dan Isi,lombok merah,cabai merah,3.0,buah
ING_000017,MR_188_01,Bumbu dan Isi,tempe,tempe,30.0,gram
ING_000018,MR_188_01,Bumbu dan Isi,terasi,terasi,1.0,sendok teh
ING_000019,MR_189_01,bahan utama,beras djagung,beras jagung,1.0,kilogram
ING_000020,MR_189_01,bahan utama,beras,beras,1.0,kilogram
ING_000021,MR_189_01,bahan utama,minjak kelapa,minyak kelapa,1.0,botol
ING_000022,MR_189_01,bahan utama,kelapa,kelapa,1.0,butir
ING_000023,MR_189_01,bahan utama,daun pisang batu,daun pisang batu,,
ING_000024,MR_189_01,bumbu,bawang merah,bawang merah,1.0,ons
ING_000025,MR_189_01,bumbu,bawang putih,bawang putih,10.0,siung
ING_000026,MR_189_01,bumbu,kemiri,kemiri,0.25,kilogram
ING_000027,MR_189_01,bumbu,lombok merah,cabai merah,0.25,kilogram
ING_000028,MR_189_01,bumbu,terasi,terasi,2.0,sendok makan
ING_000029,MR_189_01,bumbu,kentjur,kencur,1.0,ruas jari
ING_000030,MR_189_01,bumbu,laos,lengkuas,2.0,potong
ING_000031,MR_189_01,bumbu,kunjit,kunyit,1.0,ruas jari
ING_000032,MR_189_01,bumbu,daun seledri,daun seledri,2.0,lembar
ING_000033,MR_189_01,bumbu,gula merah,gula merah,1.0,sendok makan
ING_000034,MR_189_01,bumbu,garam,garam,1.0,sendok makan
ING_000035,MR_190_01,utama,djagung bidji tua,jagung biji tua,,
ING_000036,MR_190_01,utama,santan,santan,,
ING_000037,MR_190_01,utama,garam,garam,,
ING_000038,MR_190_01,utama,katjang hidjau,kacang hijau,,
ING_000039,MR_190_01,utama,katjang tolo,kacang tolo,,
ING_000040,MR_190_01,utama,daun waluh,daun waluh,,
ING_000041,MR_190_02,utama,djagung kering pipilan,jagung kering pipilan,1.0,liter
ING_000042,MR_190_02,utama,katjang merah,kacang merah,2.0,gelas
ING_000043,MR_190_02,bumbu,garam,garam,,secukupnya
ING_000044,MR_191_01,utama,kentang,kentang,2.0,kilogram
ING_000045,MR_191_01,utama,wortel,wortel,1.0,kilogram
ING_000046,MR_191_01,utama,daging klapstuk,daging sapi klapstuk,0.5,kilogram
ING_000047,MR_191_01,utama,mentega,mentega,80.0,gram
ING_000048,MR_191_01,bumbu,bawang merah,bawang merah,0.25,kilogram
ING_000049,MR_191_01,bumbu,lada,lada,0.5,sendok teh
ING_000050,MR_191_01,bumbu,pala,pala,0.5,sendok teh
ING_000051,MR_191_01,bumbu,garam,garam,1.0,sendok makan
ING_000052,MR_191_02,utama,djagung tua pipilan,jagung tua pipilan,1.0,kilogram
ING_000053,MR_191_02,utama,kelapa,kelapa,1.0,butir
ING_000054,MR_191_02,utama,garam,garam,,secukupnya
ING_000055,MR_192_01,utama,kentang,kentang,1.0,kilogram
ING_000056,MR_192_01,bumbu,garam,garam,1.0,sendok teh
ING_000057,MR_192_02,utama,kentang,kentang,0.5,kilogram
ING_000058,MR_192_02,utama,susu,susu,1.5,gelas
ING_000059,MR_192_02,bumbu,mentega,mentega,2.0,sendok makan
ING_000060,MR_192_02,bumbu,pala halus,pala bubuk,0.5,sendok teh
ING_000061,MR_192_02,bumbu,garam,garam,1.0,sendok teh
ING_000062,MR_194_01,utama,beras,beras,1.0,liter
ING_000063,MR_194_01,utama,kulit ketupat (sedang),kulit ketupat (sedang),10.0,buah
ING_000064,MR_194_02,bahan utama,pisang kepok atau pisang radja jang tua,pisang kepok atau pisang raja yang tua,10.0,buah
ING_000065,MR_194_02,bahan utama,kelapa,kelapa,0.5,butir
ING_000066,MR_194_02,bumbu,garam,garam,,secukupnya
ING_000067,MR_195_01,utama,beras,beras,1.0,liter
ING_000068,MR_195_01,utama,kulit lontong,kulit lontong,20.0,biji
ING_000069,MR_195_02,utama,djagung,jagung,1.0,kilogram
ING_000070,MR_195_02,utama,daun pisang,daun pisang,4.0,pelepah
ING_000071,MR_196_01,utama,beras djagung,beras jagung,2.0,gelas
ING_000072,MR_196_01,utama,beras,beras,2.0,gelas
ING_000073,MR_196_01,utama,daun pisang/kulit ketupat,daun pisang/kulit ketupat,,
ING_000074,MR_196_01,utama,lidi,lidi,,
ING_000075,MR_196_02,utama,beras,beras,1.5,kilogram
ING_000076,MR_196_02,utama,susu asam,susu asam,1.0,liter
ING_000077,MR_196_02,utama,kas²,kas,0.5,genggam
ING_000078,MR_196_02,utama,kenari,kenari,0.5,ons
ING_000079,MR_196_02,bumbu,djae,jahe,3.0,ons
ING_000080,MR_196_02,bumbu,bawang merah,bawang merah,20.0,buah
ING_000081,MR_196_02,bumbu,djinten putih,jintan putih,1.0,sendok makan
ING_000082,MR_196_02,bumbu,tjengkeh,cengkeh,10.0,biji
ING_000083,MR_196_02,bumbu,djeruk nipis,jeruk nipis,1.0,buah
ING_000084,MR_196_02,bumbu,bumbu korma,bumbu kurma,1.0,sendok makan
ING_000085,MR_196_02,bumbu,bawang putih,bawang putih,2.0,siung
ING_000086,MR_196_02,bumbu,djinten manis,jintan manis,1.0,sendok makan
ING_000087,MR_196_02,bumbu,kulit manis,kayu manis,1.0,potong
ING_000088,MR_196_02,bumbu,garam,garam,1.0,sendok makan
ING_000089,MR_197_02,utama,djagung pipilan,jagung pipilan,1.0,kilogram
ING_000090,MR_197_03,utama,beras djagung,beras jagung,1.0,kilogram
ING_000091,MR_197_03,utama,beras,beras,1.0,kilogram
ING_000092,MR_198_01,bahan_utama,djagung bidji setengah tua,jagung biji setengah tua,1.0,kilogram
ING_000093,MR_198_01,bahan_utama,gaplek,gaplek,1.0,kilogram
ING_000094,MR_198_01,bumbu,air,air,1.0,gelas
ING_000095,MR_198_01,bumbu,garam,garam,2.0,sendok makan
ING_000096,MR_199_01,utama,djagung,jagung,0.5,kg
ING_000097,MR_199_01,utama,nangka muda,nangka muda,0.5,buah
ING_000098,MR_199_02,utama,djagung,jagung,1.0,kg
ING_000099,MR_199_02,utama,ubi kaju,ubi kayu,2.0,kg
ING_000100,MR_199_03,utama,nasi,nasi,1.0,kg
ING_000101,MR_200_01,utama,nasi,nasi,2.0,porsi
ING_000102,MR_200_01,utama,telur,telur,1.0,butir
ING_000103,MR_200_01,utama,ketimun,timun,1.0,buah
ING_000104,MR_200_01,utama,tomat,tomat,1.0,buah
ING_000105,MR_200_01,bumbu,bawang merah,bawang merah,5.0,buah
ING_000106,MR_200_01,bumbu,bawang putih,bawang putih,2.0,siung
ING_000107,MR_200_01,bumbu,lombok merah,cabai merah,3.0,buah
ING_000108,MR_200_01,bumbu,terasi,terasi,1.0,sendok teh
ING_000109,MR_200_01,bumbu,garam,garam,0.5,sendok teh
ING_000110,MR_200_01,bumbu,ketjap,kecap,1.0,sendok makan
ING_000111,MR_200_02,utama,beras djagung,beras jagung,0.5,kilogram
ING_000112,MR_200_02,utama,garam,garam,1.0,sendok makan
ING_000113,MR_200_02,utama,kelapa tua,kelapa tua,0.5,butir
ING_000114,MR_201_01,pelengkap,daun sereh,daun serai,1.0,potong
ING_000115,MR_201_01,pelengkap,daun salam,daun salam,1.0,lembar
ING_000116,MR_201_01,pelengkap,telur,telur,1.0,butir
ING_000117,MR_201_01,pelengkap,abon,abon,0.5,ons
ING_000118,MR_201_01,pelengkap,ketimun muda,timun muda,1.0,buah
ING_000119,MR_201_02,utama,beras,beras,1.0,kilogram
ING_000120,MR_201_02,utama,daging kambing,daging kambing,1.0,kilogram
ING_000121,MR_201_02,bumbu,bawang merah,bawang merah,6.0,buah
ING_000122,MR_201_02,bumbu,bawang putih,bawang putih,2.0,siung
ING_000123,MR_201_02,bumbu,sereh,serai,1.0,batang
ING_000124,MR_201_02,bumbu,laos,lengkuas,2.0,potong
ING_000125,MR_201_02,bumbu,ketumbar,ketumbar,1.0,sendok makan
ING_000126,MR_201_02,bumbu,djinten,jintan,1.0,sendok teh
ING_000127,MR_201_02,bumbu,tjengkeh,cengkeh,1.0,sendok makan
ING_000128,MR_201_02,bumbu,kaju manis,kayu manis,2.0,batang
ING_000129,MR_201_02,bumbu,bunga pala,bunga pala,0.5,sendok teh
ING_000130,MR_201_02,bumbu,djae,jahe,2.0,ruas
ING_000131,MR_201_02,bumbu,garam,garam,1.0,sendok makan
ING_000132,MR_201_02,bumbu,minjak samin,minyak samin,50.0,gram
ING_000133,MR_202_01,utama,beras,beras,1.0,liter
ING_000134,MR_202_01,utama,minjak samin,minyak samin,8.0,sendok makan
ING_000135,MR_202_01,bumbu,bawang merah,bawang merah,10.0,buah
ING_000136,MR_202_01,bumbu,bawah putih,bawang putih,10.0,siung
ING_000137,MR_202_01,bumbu,kapulaga,kapulaga,1.0,buah
ING_000138,MR_202_01,bumbu,kaju manis,kayu manis,1.0,potong
ING_000139,MR_202_01,bumbu,tjengkeh,cengkeh,3.0,biji
ING_000140,MR_202_01,bumbu,pala,pala,,
ING_000141,MR_202_01,bumbu,garam,garam,0.5,sendok makan
ING_000142,MR_202_02,utama,beras,beras,200.0,gram
ING_000143,MR_202_02,utama,air mendidih,air mendidih,3.5,desiliter
ING_000144,MR_203_01,Bahan,beras,beras,500.0,gram
ING_000145,MR_203_02,Bahan,beras,beras,200.0,gram
ING_000146,MR_203_02,Bahan,air mendidih,air mendidih,3.5,desiliter
ING_000147,MR_203_03,Bahan,beras,beras,1.0,kilogram
ING_000148,MR_203_03,Bahan,katjang tunggak,kacang tunggak,0.25,kilogram
ING_000149,MR_203_03,Bahan,kelapa,kelapa,1.0,butir
ING_000150,MR_203_03,Bahan,ikan tongkol,ikan tongkol,1.0,ekor
ING_000151,MR_203_03,Bumbu,bawang merah,bawang merah,10.0,buah
ING_000152,MR_203_03,Bumbu,bawang putih,bawang putih,4.0,siung
ING_000153,MR_203_03,Bumbu Lanjut,lombok merah,cabai merah,5.0,biji
ING_000154,MR_203_03,Bumbu Lanjut,kunjit,kunyit,1.0,ruas
ING_000155,MR_203_03,Bumbu Lanjut,gula merah,gula merah,1.0,sendok makan
ING_000156,MR_203_03,Bumbu Lanjut,terasi,terasi,1.0,sendok teh
ING_000157,MR_203_03,Bumbu Lanjut,laos,lengkuas,1.0,potong
ING_000158,MR_203_03,Bumbu Lanjut,kentjur,kencur,0.5,ruas
ING_000159,MR_203_03,Bumbu Lanjut,garam,garam,1.0,sendok makan
ING_000160,MR_203_03,Bumbu Lanjut,djeruk purut,jeruk purut,0.0,secukupnya
ING_000161,MR_204_02,utama,beras,beras,200.0,gram
ING_000162,MR_204_02,utama,air,air,3.5,desiliter
ING_000163,MR_204_03,Bahan Utama,beras putih,beras putih,1.0,serving
ING_000164,MR_204_03,Bahan Utama,santan kental,santan kental,2.0,serving
ING_000165,MR_204_03,Bumbu,daun pandan,daun pandan,0.0,secukupnya
ING_000166,MR_204_03,Bumbu,kunjit,kunyit,3.0,biji
ING_000167,MR_204_03,Bumbu,daun salam,daun salam,4.0,lembar
ING_000168,MR_204_03,Bumbu,garam,garam,0.0,secukupnya
ING_000169,MR_205_01,utama,beras,beras,2.0,kilogram
ING_000170,MR_205_01,utama,minjak samin,minyak samin,1.0,cangkir
ING_000171,MR_205_01,bumbu,bawang merah,bawang merah,15.0,buah
ING_000172,MR_205_01,bumbu,kaju manis,kayu manis,1.0,potong
ING_000173,MR_205_01,bumbu,kapulaga,kapulaga,,buah
ING_000174,MR_205_01,bumbu,djae,jahe,2.0,potong
ING_000175,MR_205_01,bumbu,tjengkeh,cengkeh,3.0,biji
ING_000176,MR_205_01,bumbu,garam,garam,1.0,sendok makan
ING_000177,MR_205_02,utama,beras,beras,1.0,cangkir
ING_000178,MR_205_02,utama,daging ajam,daging ayam,0.33,ekor
ING_000179,MR_205_02,bumbu,bawang merah,bawang merah,5.0,buah
ING_000180,MR_205_02,bumbu,bawang putih,bawang putih,1.0,siung
ING_000181,MR_205_02,bumbu,lada,lada,0.25,sendok teh
ING_000182,MR_205_02,bumbu,pala,pala,0.17,sendok teh
ING_000183,MR_205_02,bumbu,garam,garam,1.0,sendok teh
ING_000184,MR_205_02,bumbu,daun salam,daun salam,2.0,lembar
ING_000185,MR_206_02,utama,beras,beras,1.0,kilogram
ING_000186,MR_206_02,utama,daging,daging,0.25,kilogram
ING_000187,MR_206_02,utama,telur,telur,0.5,butir
ING_000188,MR_206_02,utama,kentang,kentang,0.25,kilogram
ING_000189,MR_206_02,utama,tempe,tempe,2.5,potong
ING_000190,MR_206_02,utama,tahu,tahu,2.0,potong
ING_000191,MR_206_02,utama,kelapa,kelapa,0.5,butir
ING_000192,MR_206_02,utama,minjak goreng,minyak goreng,0.25,gelas
ING_000193,MR_206_02,bumbu,bawang merah,bawang merah,8.0,buah
ING_000194,MR_206_02,bumbu,bawang putih,bawang putih,3.0,siung
ING_000195,MR_206_02,bumbu,ketumbar,ketumbar,0.5,sendok makan
ING_000196,MR_206_02,bumbu,djinten,jintan,0.5,sendok teh
ING_000197,MR_206_02,bumbu,pala,pala,1.0,kerek
ING_000198,MR_206_02,bumbu,lada,lada,1.0,sendok teh
ING_000199,MR_206_02,bumbu,kunjit,kunyit,1.0,rajang
ING_000200,MR_206_02,bumbu,djae,jahe,1.0,rajang
ING_000201,MR_206_02,bumbu,laos,laos,1.0,rajang
ING_000202,MR_206_02,bumbu,sereh,serai,1.0,batang
ING_000203,MR_206_02,bumbu,salam,daun salam,2.0,lembar
ING_000204,MR_206_02,bumbu,garam,garam,1.0,sendok makan
ING_000205,MR_207_01,utama,beras putih,beras putih,1.0,kilogram
ING_000206,MR_207_01,utama,kelapa,kelapa,1.0,butir
ING_000207,MR_207_01,utama,minjak goreng,minyak goreng,0.5,gelas
ING_000208,MR_207_01,bumbu,bawang merah,bawang merah,10.0,buah
ING_000209,MR_207_01,bumbu,salam,daun salam,2.0,lembar
ING_000210,MR_207_01,bumbu,garam,garam,1.0,sendok makan
ING_000211,MR_207_02,utama,tepung beras,tepung beras,1.0,kilogram
ING_000212,MR_207_02,bumbu,garam,garam,,secukupnya
ING_000213,MR_208_01,utama,sagu,sagu,2.0,ons
ING_000214,MR_208_01,utama,kelapa,kelapa,1.0,butir
ING_000215,MR_208_01,bumbu,garam,garam,1.0,sendok teh
ING_000216,MR_208_01,bumbu,gula merah,gula merah,5.0,ons
ING_000217,MR_208_02,utama,kangkung,kangkung,1.0,ikat
ING_000218,MR_208_02,utama,bajam,bayam,1.0,ikat
ING_000219,MR_208_02,utama,kentang,kentang,0.5,kilogram
ING_000220,MR_208_02,utama,kuah daging,kuah daging,0.5,gelas
ING_000221,MR_209_01,utama,kentang,kentang,0.5,kilogram
ING_000222,MR_209_01,utama,kuah daging,kuah daging,0.5,gelas
ING_000223,MR_209_01,utama,kol putih,kol putih,1.0,ons
ING_000224,MR_209_01,utama,susu,susu,0.5,gelas
ING_000225,MR_209_01,bumbu,lada,lada,0.5,sendok teh
ING_000226,MR_209_01,bumbu,garam,garam,1.0,sendok teh
ING_000227,MR_209_02,utama,djagung pipilan,Jagung pipilan,,
ING_000228,MR_209_02,utama,kapur,kapur,,
ING_000229,MR_209_02,utama,air,air,,
ING_000230,MR_209_02,utama,daging sapi,daging sapi,,
ING_000231,MR_209_02,utama,gadjih,gajih,,
ING_000232,MR_210_02,utama,beras,beras,1.0,gelas
ING_000233,MR_210_02,utama,ubi kaju,ubi kayu,1.0,buah
ING_000234,MR_210_02,utama,bajam,bayam,1.0,ikat
ING_000235,MR_210_02,utama,djagung,jagung,1.0,buah
ING_000236,MR_210_02,utama,kangkung,kangkung,1.0,ikat
ING_000237,MR_210_02,utama,air,air,5.0,gelas
ING_000238,MR_210_02,bumbu,sereh,serai,1.0,batang
ING_000239,MR_210_02,bumbu,garam,garam,1.0,sendok teh
ING_000240,MR_210_02,bumbu,kemangi,kemangi,1.0,ikat
ING_000241,MR_211_01,utama,tepung gaplek,Tepung gaplek,,secukupnya
ING_000242,MR_211_02,utama,tepung djagung,tepung jagung,4.0,gelas
ING_000243,MR_211_02,utama,air,air,,secukupnya
ING_000244,MR_211_02,utama,kapur sirih,kapur sirih,,sebesar butiran jagung
ING_000245,MR_211_03,utama,tepung djagung,tepung jagung,0.5,kilogram
ING_000246,MR_211_03,utama,minjak goreng,minyak goreng,0.5,botol
ING_000247,MR_211_03,utama,kelapa,kelapa,1.0,butir
ING_000248,MR_211_03,bumbu,lada halus,lada halus,1.0,sendok teh
ING_000249,MR_211_03,bumbu,garam,garam,1.0,sendok makan
ING_000250,MR_212_01,utama,pasta tortilla,pasta tortilla,1.0,gelas
ING_000251,MR_212_01,utama,dada ajam,dada ayam,4.0,potong
ING_000252,MR_212_01,utama,katjang,kacang,2.0,ons
ING_000253,MR_212_01,utama,bawang,bawang,4.0,buah
ING_000254,MR_212_01,utama,bawang putih,bawang putih,3.0,siung
ING_000255,MR_212_01,utama,minjak,minyak,0.5,gelas
ING_000256,MR_212_01,utama,tomat,tomat,5.0,buah
ING_000257,MR_212_01,utama,kedju,keju,4.0,sendok makan
ING_000258,MR_212_01,utama,salada,selada,2.0,batang
ING_000259,MR_212_01,utama,radis,lobak,1.0,ikat
ING_000260,MR_212_01,utama,tjuka,cuka,,
ING_000261,MR_212_01,utama,salam,daun salam,,
ING_000262,MR_212_01,utama,garam,garam,,secukupnya
ING_000263,MR_212_01,utama,lombok,cabai,,secukupnya
ING_000264,MR_215_01,Bahan utama,labu siam,labu siam,1.0,buah
ING_000265,MR_215_01,Bahan utama,kol putih,kol putih,6.0,lembar
ING_000266,MR_215_01,Bahan utama,air kaldu,air kaldu,8.0,gelas
ING_000267,MR_215_01,Bumbu,bawang merah,bawang merah,5.0,buah
ING_000268,MR_215_01,Bumbu,bawang putih,bawang putih,3.0,siung
ING_000269,MR_215_01,Bumbu,lombok merah,cabai merah,2.0,buah
ING_000270,MR_215_01,Bumbu,djae,jahe,1.0,ruas jari
ING_000271,MR_215_01,Bumbu,salam,daun salam,2.0,lembar
ING_000272,MR_215_01,Bumbu,gula merah,gula merah,2.0,sendok makan
ING_000273,MR_215_01,Bumbu,garam,garam,1.0,sendok makan
ING_000274,MR_215_01,Bumbu,terasi,terasi,1.0,sendok teh
ING_000275,MR_215_02,Bahan utama,buntjis,buncis,2.0,ons
ING_000276,MR_215_02,Bahan utama,kulit melindjo,kulit melinjo,2.0,ons
ING_000277,MR_215_02,Bahan utama,tetelan,tetelan,2.0,ons
ING_000278,MR_215_02,Bahan utama,minjak goreng,minyak goreng,4.0,sendok makan
ING_000279,MR_215_02,Bumbu,bawang merah,bawang merah,8.0,buah
ING_000280,MR_215_02,Bumbu,bawang putih,bawang putih,4.0,siung
ING_000281,MR_215_02,Bumbu,tomat,tomat,4.0,buah
ING_000282,MR_215_02,Bumbu,laos,lengkuas,4.0,potong
ING_000283,MR_215_02,Bumbu,tempe bosok,tempe busuk,4.0,potong
ING_000284,MR_215_02,Bumbu,garam,garam,1.0,sendok makan
ING_000285,MR_216_01,utama,tahu besar,tahu besar,5.0,buah
ING_000286,MR_216_01,utama,minjak goreng,minyak goreng,2.0,sendok makan
ING_000287,MR_216_01,bumbu,bawang merah,bawang merah,3.0,buah
ING_000288,MR_216_01,bumbu,bawang putih,bawang putih,4.0,siung
ING_000289,MR_216_01,bumbu,lombok merah,cabai merah,2.0,buah
ING_000290,MR_216_01,bumbu,lombok hidjau,cabai hijau,4.0,buah
ING_000291,MR_216_01,bumbu,asam,asam,4.0,mata
ING_000292,MR_216_01,bumbu,gula djawa,gula jawa,1.0,sendok teh
ING_000293,MR_216_01,bumbu,terasi,terasi,0.5,sendok teh
ING_000294,MR_216_01,bumbu,ketjap,kecap,3.0,sendok makan
ING_000295,MR_216_01,bumbu,salam,daun salam,1.0,lembar
ING_000296,MR_216_01,bumbu,laos,lengkuas,1.0,iris
ING_000297,MR_216_01,bumbu,garam,garam,1.0,sendok teh
ING_000298,MR_216_02,utama,terong,terong,2.0,buah
ING_000299,MR_216_02,bumbu,bawang merah,bawang merah,3.0,buah
ING_000300,MR_216_02,bumbu,bawang putih,bawang putih,2.0,siung
ING_000301,MR_216_02,bumbu,lombok merah,cabai merah,4.0,buah
ING_000302,MR_216_02,bumbu,tomat,tomat,2.0,buah
ING_000303,MR_216_02,bumbu,daun bawang,daun bawang,1.0,ikat
ING_000304,MR_216_02,bumbu,seledri,seledri,1.0,ikat
ING_000305,MR_216_02,bumbu,gula merah,gula merah,1.0,sendok makan
ING_000306,MR_216_02,bumbu,garam,garam,1.0,sendok makan
ING_000307,MR_217_01,utama,ikan jang telah didjemur,ikan yang telah dijemur,1.0,kilogram
ING_000308,MR_217_01,utama,daun dan batang talas,daun dan batang talas,,sesuai selera
ING_000309,MR_217_01,utama,kelapa,kelapa,1.0,butir
ING_000310,MR_217_01,bumbu,garam,garam,,sesuai selera
ING_000311,MR_217_02,utama,daging,daging,0.25,kilogram
ING_000312,MR_217_02,utama,katjang tolo,kacang tolo,0.25,kilogram
ING_000313,MR_217_02,utama,buntjis/katjang pandjang,buncis/kacang panjang,1.0,ons
ING_000314,MR_217_02,utama,kelapa,kelapa,0.5,butir
ING_000315,MR_217_02,utama,minjak goreng,minyak goreng,2.0,sendok makan
ING_000316,MR_217_02,bumbu,bawang merah,bawang merah,5.0,buah
ING_000317,MR_217_02,bumbu,bawang putih,bawang putih,4.0,siung
ING_000318,MR_217_02,bumbu,lombok merah,lombok merah,4.0,buah
ING_000319,MR_217_02,bumbu,kemiri,kemiri,4.0,biji
ING_000320,MR_217_02,bumbu,keluwak,keluak,4.0,biji
ING_000321,MR_217_02,bumbu,ketumbar,ketumbar,0.5,sendok makan
ING_000322,MR_217_02,bumbu,djinten,jintan,0.5,sendok teh
ING_000323,MR_217_02,bumbu,kunir,kunyit,0.5,ruas
ING_000324,MR_217_02,bumbu,laos,lengkuas,2.0,iris
ING_000325,MR_217_02,bumbu,sereh,serai,1.0,batang
ING_000326,MR_217_02,bumbu,keluwak,keluak,3.0,buah
ING_000327,MR_217_02,bumbu,salam,salam,2.0,lembar
ING_000328,MR_217_02,bumbu,daun djeruk purut,daun jeruk purut,2.0,lembar
ING_000329,MR_217_02,bumbu,asam,asam jawa,2.0,mata
ING_000330,MR_217_02,bumbu,gula,gula,0.5,sendok makan
ING_000331,MR_217_02,bumbu,garam,garam,1.0,sendok makan
ING_000332,MR_217_02,bumbu,ketjap,kecap,1.0,sendok makan
ING_000333,MR_217_02,bumbu,terasi,terasi,1.0,sendok teh
ING_000334,MR_217_02,utama,katjang merah,kacang merah,0.5,kilogram
ING_000335,MR_217_02,utama,santan,santan,3.0,gelas
ING_000336,MR_217_02,bumbu,bawang merah,bawang merah,5.0,butir
ING_000337,MR_217_02,bumbu,bawang putih,bawang putih,2.0,siung
ING_000338,MR_217_02,bumbu,lombok merah,cabai merah,5.0,biji
ING_000339,MR_217_02,bumbu,keluwak,kluwek,2.0,biji
ING_000340,MR_217_02,bumbu,kunjit,kunyit,1.0,ruas jari
ING_000341,MR_217_02,bumbu,djae,jahe,1.0,ruas jari
ING_000342,MR_217_02,bumbu,kentjur,kencur,1.0,ruas jari
ING_000343,MR_217_02,bumbu,gula djawa,gula jawa,1.0,sendok makan
ING_000344,MR_217_02,bumbu,garam,garam,1.0,sendok makan
ING_000345,MR_219_01,utama,tahu,tahu,10.0,potong
ING_000346,MR_219_01,utama,katjang hidjau,kacang hijau,0.25,kilogram
ING_000347,MR_219_01,utama,santan,santan,1.5,gelas
ING_000348,MR_219_01,utama,petai,petai,10.0,mata
ING_000349,MR_219_01,bumbu,bawang merah,bawang merah,7.0,buah
ING_000350,MR_219_01,bumbu,bawang putih,bawang putih,5.0,siung
ING_000351,MR_219_01,bumbu,lombok tjamparan,cabai campuran,7.0,buah
ING_000352,MR_219_01,bumbu,keluwak,keluak,3.0,biji
ING_000353,MR_219_01,bumbu,kemiri,kemiri,2.0,biji
ING_000354,MR_219_01,bumbu,laos,lengkuas,1.0,potong
ING_000355,MR_219_01,bumbu,kentjur,kencur,1.0,ruas jari
ING_000356,MR_219_01,bumbu,kulit djeruk purut,kulit jeruk purut,1.0,iris
ING_000357,MR_219_01,bumbu,gula merah,gula merah,1.0,sendok makan
ING_000358,MR_219_01,bumbu,garam,garam,1.0,sendok makan
ING_000359,MR_219_02,utama,waluh djipang,labu siam,4.0,buah
ING_000360,MR_219_02,utama,kelapa,kelapa,0.5,butir
ING_000361,MR_219_02,utama,kikil,kikil,0.25,kilogram
ING_000362,MR_219_02,utama,minjak goreng,minyak goreng,3.0,sendok makan
ING_000363,MR_219_02,bumbu,bawang merah,bawang merah,3.0,buah
ING_000364,MR_219_02,bumbu,lombok rawit,cabai rawit,10.0,buah
ING_000365,MR_219_02,bumbu,kemiri,kemiri,4.0,butir
ING_000366,MR_219_02,bumbu,keluwak,keluak,4.0,butir
ING_000367,MR_219_02,bumbu,ketumbar,ketumbar,1.0,sendok teh
ING_000368,MR_219_02,bumbu,kunjit,kunyit,0.33,ruas jari
ING_000369,MR_219_02,bumbu,laos,lengkuas,1.0,potong
ING_000370,MR_219_02,bumbu,salam,daun salam,1.0,lembar
ING_000371,MR_219_02,bumbu,gula merah,gula merah,1.0,sendok teh
ING_000372,MR_219_02,bumbu,garam,garam,1.0,sendok makan
ING_000373,MR_220_01,utama,daun katuk,daun katuk,3.0,ikat
ING_000374,MR_220_01,utama,daun labu,daun labu,3.0,ikat
ING_000375,MR_220_01,utama,menir katjang hidjau,menir kacang hijau,0.5,gelas
ING_000376,MR_220_01,bumbu,lombok hidjau,cabai hijau,3.0,buah
ING_000377,MR_220_01,bumbu,bawang merah,bawang merah,6.0,butir
ING_000378,MR_220_01,bumbu,kemiri,kemiri,4.0,butir
ING_000379,MR_220_01,bumbu,kunjit,kunyit,2.0,ruas jari
ING_000380,MR_220_01,bumbu,garam,garam,0.5,sendok makan
ING_000381,MR_220_02,utama,ikan laut,ikan laut,0.5,kilogram
ING_000382,MR_221_01,bumbu,bawang merah,bawang merah,6.0,buah
ING_000383,MR_221_01,bumbu,lombok merah,cabai merah,3.0,buah
ING_000384,MR_221_01,bumbu,lombok hidjau,cabai hijau,3.0,buah
ING_000385,MR_221_01,bumbu,tomat,tomat,2.0,buah
ING_000386,MR_221_01,bumbu,kunjit,kunyit,0.5,ruas jari
ING_000387,MR_221_01,bumbu,daun kemangi,daun kemangi,0.5,ikat
ING_000388,MR_221_01,bumbu,asam,asam,3.0,mata
ING_000389,MR_221_01,bumbu,garam,garam,0.5,sendok makan
ING_000390,MR_221_01,bumbu,gula,gula,1.0,sendok teh
ING_000391,MR_221_01,bumbu,kapur sirih,kapur sirih,0.5,sendok teh
